Nam,Co cau chi phi,Gia tri
2017,Chi phi nguyen vat lieu,28.7
2017,Chi phi nhan cong,8.84
2017,Chi phi khau hao,5.19
2017,Chi phi dich vu mua ngoai,35.1
2017,Chi phi khac,1.67
2018,Chi phi nguyen vat lieu,27.4
2018,Chi phi nhan cong,9.66
2018,Chi phi khau hao,5.02
2018,Chi phi dich vu mua ngoai,36.9
2018,Chi phi khac,1.34
2019,Chi phi nguyen vat lieu,25.9
2019,Chi phi nhan cong,9.63
2019,Chi phi khau hao,5.14
2019,Chi phi dich vu mua ngoai,40.4
2019,Chi phi khac,1.52
2020,Chi phi nguyen vat lieu,9.12
2020,Chi phi nhan cong,4.8
2020,Chi phi khau hao,2.96
2020,Chi phi dich vu mua ngoai,28.5
2020,Chi phi khac,0.815
2021,Chi phi nguyen vat lieu,7.19
2021,Chi phi nhan cong,4.37
2021,Chi phi khau hao,2.05
2021,Chi phi dich vu mua ngoai,22.3
2021,Chi phi khac,0.696
